Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
"                   ,,",35. நித்திலவல்லி (தமிழ் வளர்ச்சித் துறை),-,-,-,தமிழ்,-,தமிழ் வளர்ச்சித் துறை,-,"நாவல்,வரலாறு",-,200,-,Paper Back
"                   ,,",36. நினைவின் நிழல்கள்,-,-,-,தமிழ்,-,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,500,9789392406928,Paper Back
"                   ,,",37. மலைச் சிகரம்,-,-,-,தமிழ்,-,கௌரா பதிப்பகக் குழுமம்,-,-,-,480,-,Paper Back
"                   ,,",38. நா.பா. வின் சரித்திர சிறுகதைகள்,-,-,-,தமிழ்,696,கௌரா பதிப்பகக் குழுமம்,-,சிறுகதை,வரலாறு,700,9789382689621,Hardcover
"                   ,,",39. தனிப்பாடல் கதைகள்,-,-,-,தமிழ்,220,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,200,-,Paper Back
"                   ,,",40. மகாபாரதம் வசனம்,-,-,-,தமிழ்,416,கௌரா பதிப்பகக் குழுமம்,-,இலக்கியம்,-,400,-,Paper Back
"                   ,,",41. மொழியின் வழியே,-,-,-,தமிழ்,104,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,35,-,Paper Back
"                   ,,",42. சாயங்கால மேகங்கள்,-,-,-,தமிழ்,192,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,140,-,Paper Back
"                   ,,",43. வெற்றி முழக்கம்,-,-,-,தமிழ்,352,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,200,-,Paper Back
"                   ,,",44. பாண்டிமாதேவி (கௌரா பதிப்பகக் குழுமம்),-,-,-,தமிழ்,648,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,550,-,-
"                   ,,",45. துளசி மாடம்,-,-,-,தமிழ்,256,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,140,-,Paper Back
"                   ,,",46. ஆத்மாவின் ராகங்கள் (கௌரா பதிப்பகக் குழுமம்),-,-,-,தமிழ்,208,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,100,-,Paper Back
